ID,MATERIAL_PO,EQUIPMENT_ID,EPC_NUMBER,MANUFACTURER
1,to413515,tab-0027,EPC-597350908,SAP
2,an194700,cap-0485,EPC-672337149,Intel
3,up741254,sex-2803,EPC-548634322,SAP
4,of167017,mew-2343,EPC-997770522,ARM
5,ah893050,fit-5458,EPC-837833410,ARM
6,id924792,nor-5289,EPC-620957705,IBM
7,we554688,ire-8255,EPC-320835511,IBM
8,OK075489,gab-7122,EPC-738068405,SAP
9,hi507445,caw-6429,EPC-287717311,SAP
10,we392689,set-5977,EPC-398318739,Cisco
11,as333710,huh-7778,EPC-611406516,Intel
12,ox226283,lop-2203,EPC-241010742,Cisco
13,in634851,axe-5509,EPC-729276274,ARM
14,on992643,pan-2498,EPC-650532589,IBM
15,ms906782,hug-3764,EPC-986816157,ARM
16,am720328,aye-1572,EPC-534768102,IBM
17,ax137003,opt-3221,EPC-011846696,Cisco
18,of084151,spa-6995,EPC-106127525,ARM
19,ad576268,all-7864,EPC-256514938,Intel
20,go141056,sap-3256,EPC-771321742,Cisco
21,ha878393,won-9860,EPC-697469187,ARM
22,be857758,ham-0076,EPC-405977349,Cisco
23,ox513085,lad-8331,EPC-375747953,ARM
24,ho126639,sue-8336,EPC-656711938,SAP
25,ah350535,wet-8300,EPC-720656021,IBM
26,Ms334425,gee-0881,EPC-202652184,SAP
27,ox856420,hey-7327,EPC-583159908,Cisco
28,so105476,rid-4028,EPC-382959992,SAP
29,Ms861802,add-1407,EPC-079689120,ARM
30,Os645478,wiz-2851,EPC-360064293,SAP
31,an849382,tub-7121,EPC-315044111,SAP
32,ay621662,apt-4791,EPC-537393747,SAP
33,an155306,hut-0807,EPC-573983561,Cisco
34,ay525847,ply-1061,EPC-532879682,Intel
35,mu603807,hue-5198,EPC-883231481,Cisco
36,of228495,fez-3886,EPC-423541355,IBM
37,if744261,fro-3317,EPC-551953238,ARM
38,is995711,bra-6929,EPC-881640409,Intel
39,cs127736,tin-1996,EPC-850385879,SAP
