Name,Count
person with PPE,441
soil,213
load carrying crane,205
piling rig,205
machinery,201
building structure,119
excavator,110
continuous flight auger drill,82
pile casing,68
exposed piles,57
car,36
steel,36
pile cage,34
concrete mixer truck,31
crane,23
water body,23
secant pile,21
hydraulic grab,20
underground tunnel,19
folded piling rig,16
truck,16
Concrete,15
bore pile,15
sectional flight auger,15
pipeline,11
contiguous pile,10
wall,10
water,10
aerial view of construction site,9
person,6
dump truck,5
cables,4
underground pipeline,4
Loader,2
hydrofraise cutter,2
testing equipment,2
floor,1
roller,1
stone,1
